TASK         BVP   NORM  COST   QUAD  SOURCE     NAME
------------------------------------------------------------------------------------------------
T-1850        90   0.75     -      -  proposed   tags:[arc:*] → arc_id one-shot migration (T-NEW-3)
T-1719        85   0.71   1.4  hv-lc  proposed   Embeddings strategy V1 — Slice 1 (post-write hook 
T-1701        84   0.70   1.4  hv-lc  proposed   v1 build: install + integrate pi RPC backend for w
T-1943        80   0.67   2.0  hv-hc  proposed   fw audit registry→generated cron drift FAIL (T-194
T-1944        80   0.67     -      -  proposed   extract cron drift python heredoc to lib helper L-
T-679         79   0.66     -      -  proposed   Path C workflow refinement — document TermLink-bas
T-1915        70   0.58   6.1  hv-hc  proposed   value-prioritisation: Business Value Points — dire
T-1914        66   0.55   3.5  hv-hc  proposed   lib/arc.sh consolidate _arc_tasks_* to delegate to
T-1771        64   0.53     -      -  proposed   make cron drift actionable: audit-summary visibili
T-1624        62   0.52   1.2  hv-lc  proposed   Refresh ring20-dashboard hub.secret on this anchor
T-1820        62   0.52   1.4  hv-lc  proposed   joint smoke-test slice — v2 peer-consult end-to-en
T-1542        60   0.50   1.4  hv-lc  proposed   fw upgrade from inside a consumer crashes at step 
T-1911        59   0.49   1.4  hv-lc  proposed   Watchtower /arcs/<slug>/close build — review surfa
T-1936        57   0.47   1.4  hv-lc  proposed   BVP T-NEW-7d: arc-level BVP+cost rollup — render a
T-1939        57   0.47   2.0  hv-hc  proposed   BVP T-1936/T-1937 sibling — /arcs/<slug> BVP signa
T-1940        57   0.47   2.0  hv-hc  proposed   BVP T-1939 sibling — Playwright pin for /arcs/<slu
T-1941        57   0.47   3.2  hv-hc  proposed   BVP T-1940 sibling — emit bvp_mode in /bvp scatter
T-1550        56   0.47     -      -  proposed   Layer A: ## RCA template + completion gate for bug
T-1671        56   0.47     -      -  proposed   Implement Default-to-OPEN agent gate in fw arc clo
T-1949        55   0.46   1.4  hv-lc  proposed   Playwright MCP screenshot output redirect + cleanu
T-1730        55   0.46     -      -  proposed   Bash matcher + focus-drift gate on check-active-ta
T-1685        52   0.43   1.8  hv-hc  proposed   fw audit refactor — first real consumer of the orc
T-1909        52   0.43   1.4  hv-lc  proposed   Render arc_id badge on task surfaces — finish the 
T-1910        52   0.43   1.4  hv-lc  proposed   Arc page parity — read-only enrichment + inline ed
T-1912        52   0.43   3.2  hv-hc  proposed   fw upgrade do_vendor step 4b runs BEFORE step 9 ve
T-1935        52   0.43   3.2  hv-hc  proposed   BVP T-NEW-7c: bvp-cost-estimator — propose cost_es
T-1948        52   0.43   1.3  hv-lc  proposed   T-1947 prose iteration — rewrite CLAUDE.md REVIEWE
T-1950        52   0.43   1.2  hv-lc  proposed   G-066 deliverable #2 — reviewer auto-tick Agent AC
